urls,names
https://olympics.com/pt/noticias/thales-hoss-volei-paris-2024,thales-hoss-volei-paris-2024
https://olympics.com/pt/noticias/isaquias-queiroz-jogos-olimpicos-paris-2024-horario-assistir-final-c1-1000m,isaquias-queiroz-jogos-olimpicos-paris-2024-horario-assistir-final-c1-1000m
https://olympics.com/pt/noticias/eua-virada-servia-semifinal-basquete-masculino-jogos-olimpicos,eua-virada-servia-semifinal-basquete-masculino-jogos-olimpicos
https://olympics.com/pt/noticias/alison-dos-santos-comparacao-tempos-retrospecto-warholm-benjamin,alison-dos-santos-comparacao-tempos-retrospecto-warholm-benjamin
https://olympics.com/pt/noticias/skate-park-feminino-horario-onde-assistir,skate-park-feminino-horario-onde-assistir
https://olympics.com/pt/noticias/volei-masculino-paris-2024-confira-programacao-jogos,volei-masculino-paris-2024-confira-programacao-jogos
https://olympics.com/pt/noticias/marcus-dalmeida-sobre-estreia-paris-2024-tiro-com-arco,marcus-dalmeida-sobre-estreia-paris-2024-tiro-com-arco
https://olympics.com/pt/noticias/wimbledon-2024-dia-3-haddad-maia-sinner-alcaraz,wimbledon-2024-dia-3-haddad-maia-sinner-alcaraz
https://olympics.com/pt/noticias/gustavo-bala-loka-bmx-freestyle-jogos-olimpicos-final-sexto,gustavo-bala-loka-bmx-freestyle-jogos-olimpicos-final-sexto
https://olympics.com/pt/noticias/basquete-paris-2024-previa-final-feminina-franca-eua,basquete-paris-2024-previa-final-feminina-franca-eua
https://olympics.com/pt/noticias/em-dia-marcado-por-vitorias-rafael-macedo-acaba-derrotado-em-luta-valendo-bronze-no-judo,em-dia-marcado-por-vitorias-rafael-macedo-acaba-derrotado-em-luta-valendo-bronze-no-judo
https://olympics.com/pt/noticias/falta-um-mes-paris-2024-filmes,falta-um-mes-paris-2024-filmes
https://olympics.com/pt/noticias/paris-1924-futebol-global-uruguai-copa-mundo,paris-1924-futebol-global-uruguai-copa-mundo
https://olympics.com/pt/noticias/alison-dos-santos-horario-assistir-monaco-diamond-league-2024,alison-dos-santos-horario-assistir-monaco-diamond-league-2024
https://olympics.com/pt/noticias/skate-street-masculino-adiado-segunda-feira-paris-2024,skate-street-masculino-adiado-segunda-feira-paris-2024
https://olympics.com/pt/noticias/isac-tempo-selecao-masculina-de-volei-brasil-paris-2024,isac-tempo-selecao-masculina-de-volei-brasil-paris-2024
https://olympics.com/pt/noticias/ana-marcela-cunha-jogos-olimpicos-paris-2024-horario-assistir-maratona-aquatica-feminina,ana-marcela-cunha-jogos-olimpicos-paris-2024-horario-assistir-maratona-aquatica-feminina
https://olympics.com/pt/noticias/volei-de-praia-carol-e-barbara-evandro-e-arthur-oitavas-jogos-olimpicos-paris-2024,volei-de-praia-carol-e-barbara-evandro-e-arthur-oitavas-jogos-olimpicos-paris-2024
https://olympics.com/pt/noticias/franca-e-espanha-vao-se-enfrentar-na-final-do-futebol-masculino-nos-jogos-olimpicos-paris-2024,franca-e-espanha-vao-se-enfrentar-na-final-do-futebol-masculino-nos-jogos-olimpicos-paris-2024
https://olympics.com/pt/noticias/volei-masculino-jogos-olimpicos-paris-2024-programacao-assistir-semifinais,volei-masculino-jogos-olimpicos-paris-2024-programacao-assistir-semifinais
https://olympics.com/pt/noticias/futebol-paris-2024-convocadas-brasil,futebol-paris-2024-convocadas-brasil
https://olympics.com/pt/noticias/desporto-olimpico-portugal-integra-refugiados,desporto-olimpico-portugal-integra-refugiados
https://olympics.com/pt/noticias/paris-2024-previa-programacao-onde-assistir-escalada-velocidade-feminina,paris-2024-previa-programacao-onde-assistir-escalada-velocidade-feminina
https://olympics.com/pt/noticias/triatlo-masculino-jogos-olimpicos-paris-2024-adiado-31-de-julho,triatlo-masculino-jogos-olimpicos-paris-2024-adiado-31-de-julho
https://olympics.com/pt/noticias/tenis-jogos-olimpicos-paris-2024-horario-onde-assistir-final-feminina,tenis-jogos-olimpicos-paris-2024-horario-onde-assistir-final-feminina
https://olympics.com/pt/noticias/bia-ferreira-podio-boxe-revanche-semifinal-paris-2024,bia-ferreira-podio-boxe-revanche-semifinal-paris-2024
https://olympics.com/pt/noticias/atletas-supersticoes-em-paris-2024,atletas-supersticoes-em-paris-2024
https://olympics.com/pt/noticias/oscar-da-silva-basquete-alemanha-paris-2024-perfil,oscar-da-silva-basquete-alemanha-paris-2024-perfil
https://olympics.com/pt/noticias/vasco-vilaca-ricardo-batista-miguel-hidalgo-triatlo-jogos-olimpicos,vasco-vilaca-ricardo-batista-miguel-hidalgo-triatlo-jogos-olimpicos
https://olympics.com/pt/noticias/beatriz-souza-judo-medalha-brasil-paris-2024,beatriz-souza-judo-medalha-brasil-paris-2024
https://olympics.com/pt/noticias/handebol-feminino-paris-2024-formato-programacao-onde-assistir,handebol-feminino-paris-2024-formato-programacao-onde-assistir
https://olympics.com/pt/noticias/confira-a-biografia-dos-porta-bandeiras-do-brasil-na-cerimonia-de-abertura,confira-a-biografia-dos-porta-bandeiras-do-brasil-na-cerimonia-de-abertura
https://olympics.com/pt/noticias/surfe-jogos-olimpicos-retomado-quinta-1-de-agosto,surfe-jogos-olimpicos-retomado-quinta-1-de-agosto
https://olympics.com/pt/noticias/timor-leste-paris-2024-atletas-calendario-onde-assistir,timor-leste-paris-2024-atletas-calendario-onde-assistir
https://olympics.com/pt/noticias/argentinos-pablo-simonet-maria-campoy-viralizam-pedido-casamento-vila-olimpica-paris-2024,argentinos-pablo-simonet-maria-campoy-viralizam-pedido-casamento-vila-olimpica-paris-2024
https://olympics.com/pt/noticias/australia-recorde-olimpico-revezamento-4x200m-feminino,australia-recorde-olimpico-revezamento-4x200m-feminino
https://olympics.com/pt/noticias/mafe-costa-evolucao-feitos-historicos-paris-2024,mafe-costa-evolucao-feitos-historicos-paris-2024
https://olympics.com/pt/noticias/surfe-jogos-olimpicos-paris-2024-chaveamento-completo-fase-final,surfe-jogos-olimpicos-paris-2024-chaveamento-completo-fase-final
https://olympics.com/pt/noticias/jogos-olimpicos-paris-2024-lista-completa-coi-codigos-comite-olimpico-nacional,jogos-olimpicos-paris-2024-lista-completa-coi-codigos-comite-olimpico-nacional
https://olympics.com/pt/noticias/brasil-espanha-semifinal-futebol-feminino-jogos-olimpicos,brasil-espanha-semifinal-futebol-feminino-jogos-olimpicos
https://olympics.com/pt/noticias/marta-ultimos-jogos-olimpicos-legado-futebol,marta-ultimos-jogos-olimpicos-legado-futebol
https://olympics.com/pt/noticias/paris-2024-fas-memorabilia-compras-jogos-olimpicos,paris-2024-fas-memorabilia-compras-jogos-olimpicos
https://olympics.com/pt/noticias/basquete-masculino-jogos-olimpicos-paris-2024-horario-assistir-final-franca-estados-unidos,basquete-masculino-jogos-olimpicos-paris-2024-horario-assistir-final-franca-estados-unidos
https://olympics.com/pt/noticias/um-mes-paris-2024-geracao-nanjing-2014-brasil,um-mes-paris-2024-geracao-nanjing-2014-brasil
https://olympics.com/pt/noticias/simone-biles-rebeca-andrade-nunca-tive-uma-atleta-tao-proxima-de-mim,simone-biles-rebeca-andrade-nunca-tive-uma-atleta-tao-proxima-de-mim
https://olympics.com/pt/noticias/hoquei-sobre-grama-um-esporte-verdadeiramente-global,hoquei-sobre-grama-um-esporte-verdadeiramente-global
https://olympics.com/pt/noticias/recordes-individuais-equipes-podem-ser-quebrados-jogos-olimpicos-paris-2024,recordes-individuais-equipes-podem-ser-quebrados-jogos-olimpicos-paris-2024
https://olympics.com/pt/noticias/rafael-nadal-jogos-olimpicos-roland-garros,rafael-nadal-jogos-olimpicos-roland-garros
https://olympics.com/pt/noticias/paris-2024-portugal-ciclismo-atletas,paris-2024-portugal-ciclismo-atletas
https://olympics.com/pt/noticias/ahman-hellvig-ouro-no-volei-praia-masculino-jogos-olimpicos,ahman-hellvig-ouro-no-volei-praia-masculino-jogos-olimpicos
https://olympics.com/pt/noticias/isaquias-queiroz-jacky-godmann-semi-canoagem-velocidade-paris-2024,isaquias-queiroz-jacky-godmann-semi-canoagem-velocidade-paris-2024
https://olympics.com/pt/noticias/fernando-pimenta-maiores-atletas-olimpicos-portugal,fernando-pimenta-maiores-atletas-olimpicos-portugal
https://olympics.com/pt/noticias/brasil-angola-classifica-quartas-handebol-jogos-olimpicos-paris-2024,brasil-angola-classifica-quartas-handebol-jogos-olimpicos-paris-2024
https://olympics.com/pt/noticias/brasileiros-nao-avancam-para-semifinais-dos-100m-rasos-nos-jogos-olimpicos-paris-2024,brasileiros-nao-avancam-para-semifinais-dos-100m-rasos-nos-jogos-olimpicos-paris-2024
https://olympics.com/pt/noticias/em-dia-de-grandes-atuacoes-marcus-d-almeida-e-ana-luiza-caetano-avancam-as-oitavas-no-tiro-com-arco,em-dia-de-grandes-atuacoes-marcus-d-almeida-e-ana-luiza-caetano-avancam-as-oitavas-no-tiro-com-arco
https://olympics.com/pt/noticias/marta-numeros-lenda-jogos-olimpicos,marta-numeros-lenda-jogos-olimpicos
https://olympics.com/pt/noticias/classificados-mata-mata-basquete-feminino-paris-2024,classificados-mata-mata-basquete-feminino-paris-2024
https://olympics.com/pt/noticias/wimbledon-2024-programacao-dia,wimbledon-2024-programacao-dia
https://olympics.com/pt/noticias/noah-lyles-contra-usain-bolt-recordes-mundiais,noah-lyles-contra-usain-bolt-recordes-mundiais
https://olympics.com/pt/noticias/babi-arenhart-referencia-handebol-selecao-brasileira,babi-arenhart-referencia-handebol-selecao-brasileira
https://olympics.com/pt/noticias/volei-paris-2024-retrospecto-brasil-rivais-grupo,volei-paris-2024-retrospecto-brasil-rivais-grupo
https://olympics.com/pt/noticias/paris-2024-cerimonia-de-encerramento-billie-eilish-red-hot-chili-peppers-e-snoop-dogg-la28,paris-2024-cerimonia-de-encerramento-billie-eilish-red-hot-chili-peppers-e-snoop-dogg-la28
https://olympics.com/pt/noticias/katie-ledecky-rainha-americana-da-natacao-revela-o-segredo-de-sua-longevidade,katie-ledecky-rainha-americana-da-natacao-revela-o-segredo-de-sua-longevidade
https://olympics.com/pt/noticias/handebol-masculino-paris-2024-formato-programacao-onde-assistir,handebol-masculino-paris-2024-formato-programacao-onde-assistir
https://olympics.com/pt/noticias/brasil-eua-final-prata-futebol-feminino-jogos-olimpicos-paris-2024,brasil-eua-final-prata-futebol-feminino-jogos-olimpicos-paris-2024
https://olympics.com/pt/noticias/volei-masculino-jogos-olimpicos-paris-2024-assistir-brasil-italia,volei-masculino-jogos-olimpicos-paris-2024-assistir-brasil-italia
https://olympics.com/pt/noticias/paris-2024-jogos-olimpicos-mulheres-brasileiras-principais-feitos,paris-2024-jogos-olimpicos-mulheres-brasileiras-principais-feitos
https://olympics.com/pt/noticias/volei-paris-2024-veja-programacao-jogos-feminino,volei-paris-2024-veja-programacao-jogos-feminino
https://olympics.com/pt/noticias/pedro-pichardo-perfil-salto-triplo,pedro-pichardo-perfil-salto-triplo
https://olympics.com/pt/noticias/franca-elimina-argentina-futebol-masculino-paris-2024,franca-elimina-argentina-futebol-masculino-paris-2024
https://olympics.com/pt/noticias/atletismo-quincy-hall-dos-eua-brilha-e-conquista-ouro-nos-200m-masculino-em-paris-2024,atletismo-quincy-hall-dos-eua-brilha-e-conquista-ouro-nos-200m-masculino-em-paris-2024
https://olympics.com/pt/noticias/brasil-finais-ginastica-artistica-rebeca-andrade-jogos-olimpicos,brasil-finais-ginastica-artistica-rebeca-andrade-jogos-olimpicos
https://olympics.com/pt/noticias/republica-popular-china-primeiro-ouro-paris-2024-tiro,republica-popular-china-primeiro-ouro-paris-2024-tiro
https://olympics.com/pt/noticias/isaquias-queiroz-porta-bandeira-recorde-medalhas,isaquias-queiroz-porta-bandeira-recorde-medalhas
https://olympics.com/pt/noticias/bruna-de-paula-selecao-feminina-handebol-paris-2024,bruna-de-paula-selecao-feminina-handebol-paris-2024
https://olympics.com/pt/noticias/keno-marley-primeira-vitoria-boxe-jogos-olimpicos,keno-marley-primeira-vitoria-boxe-jogos-olimpicos
https://olympics.com/pt/noticias/atletismo-jogos-olimpicos-paris-2024-horario-assistir-100m-feminino,atletismo-jogos-olimpicos-paris-2024-horario-assistir-100m-feminino
https://olympics.com/pt/noticias/kaylia-nemour-ginastica-artistica-africa-medalha-paris-2024,kaylia-nemour-ginastica-artistica-africa-medalha-paris-2024
https://olympics.com/pt/noticias/futebol-masculino-paris-2024-horarios-onde-assistir-mata-mata,futebol-masculino-paris-2024-horarios-onde-assistir-mata-mata
https://olympics.com/pt/noticias/juliana-viana-badminton-feminino-brasil-jogos-olimpicos,juliana-viana-badminton-feminino-brasil-jogos-olimpicos
https://olympics.com/pt/noticias/liga-das-nacoes-volei-masculino-2024-selecao-melhores-jogadores,liga-das-nacoes-volei-masculino-2024-selecao-melhores-jogadores
https://olympics.com/pt/noticias/basquete-jogos-olimpicos-paris-2024-horario-assistir-brasil-estados-unidos-quartas,basquete-jogos-olimpicos-paris-2024-horario-assistir-brasil-estados-unidos-quartas
https://olympics.com/pt/noticias/pamela-rosa-skate-street-paris-2024,pamela-rosa-skate-street-paris-2024
